brand,model,year,kilometer,fuel,engine,transmission,price
Peugeot,207 Sportium,2012,,Diesel,1.6 HDI 92ch,Manuelle, 160.0000 DA 
Toyota,RAV4,2009,199000km,Diesel,2.2 D4D 177ch,Manuelle, 999.0000 DA 
Chevrolet,Cruze LT,2012,240000km,Essence,1.6 ess 16V 113ch,Manuelle, 163.0000 DA 
Toyota,Dynamique RAV4,2012,290000km,Diesel,2.2 D4D 177ch,Manuelle, 200.0000 DA 
Zotye,200 Confort Z,2015,240000km,Essence,1.3 VVT 16V 73ch,Manuelle, 99.0000 DA 
Renault,2 Expression Laguna,2003,300km,Diesel,1.9 DCI 120ch,Manuelle, 125.0000 DA 
Seat,EDITION Ibiza,2018,63000km,Essence,1.6 MPi 110 ch Automatique,Automatique, 390.0000 DA 
Kia,Sportage,2015,242000km,Diesel,2.0 CRDI 177 4x2,Manuelle, 461.5000 DA 
Skoda,DGS Elegance Octavia,2015,175000km,Diesel,2.0 TDI 143ch DSG 6,Automatique, 255.0000 DA 
Chery,Tiggo4 premiim pro,2024,20km,Essence,"1,5",Automatique, 400.0000 DA 
Suzuki,Alto K10,2013,260000km,,1.0 ess 68ch,Manuelle, 130.0000 DA 
Fiat,Irban Tipo,2024,00km,Essence,1.6,Automatique, 111.0000 DA 
Fiat,Tipo urbain,2024,,,,, 111.0000 DA 
Opel,Astra,2024,,,,, 222.0000 DA 
Seat,Fully Ibiza,2013,115km,Essence,1.4 ess 85ch,Manuelle, 240.0000 DA 
Fiat,Doblo Professional,2024,,,,, 336.0000 DA 
Volkswagen,130 8 Golf Life,2021,,,,, 490.0000 DA 
Kia,Rio,2019,207000km,Essence,1.4l ess 100ch,Manuelle, 123.0000 DA 
Dacia,Dzl Stepway,2019,,,,, 296.0000 DA 
Seat,Ibiza STYLE,2018,112000km,Essence,1.6 MPi 110 ch,Manuelle, 320.0000 DA 
Citroen,Berlingo,2010,400000km,Diesel,1.6 HDI 110ch,Manuelle, 184.0000 DA 
Renault,Kangoo,2002,280km,Diesel,1.9 D 65ch,Manuelle, 95.0000 DA 
Peugeot,Moto street zone,2019,,,,, 15.0000 DA 
Renault,4,1985,1km,Essence,0.8 ess 27ch,Manuelle, 38.0000 DA 
Hyundai,Tucson,2017,150900km,Diesel,2.0 CRDI 4x4 177ch BVA,Automatique, 390.0000 DA 
Seat,Fr Leon,2021,142000km,Diesel,2.0 TDI 177ch,Automatique, 526.0000 DA 
Dacia,PRIVILEGE Sandero Stepway,2019,47000km,Diesel,1.5 DCI 90ch,Manuelle, 330.0000 DA 
Hyundai,Gl i10 plus,2016,94000km,Essence,1.1,Manuelle, 217.0000 DA 
Dacia,"""Style"" Limitee Sandero Serie",2019,182km,GPL,1.6 MPI 90ch,Manuelle, 265.0000 DA 
Fiat,City Tipo,2023,,,,, 325.0000 DA 
Kia,Cerato,2015,241000km,Essence,1.6 DOHC D-CVVT 130CH,Manuelle, 255.0000 DA 
Renault,Dynamique Fluence,2013,331000km,Diesel,1.5 DCI 110ch,Manuelle, 223.0000 DA 
Renault,5,1984,1000000km,Essence,1.1 ess 45ch,Manuelle, 15.0000 DA 
Hyundai,creta gl,2017,,,,, 340.0000 DA 
Peugeot,206,2003,200000km,Diesel,1.9 D 70ch,Manuelle, 69.0000 DA 
Hyundai,GLS i10,2015,118km,Essence,,Manuelle, 111.0000 DA 
Land Rover,Evoque Range,2013,280000km,Diesel,2.2 SD4 - 2.2 D 190ch BVA,Automatique, 285.0000 DA 
Volkswagen,Polo Start,2018,112000km,Essence,1.6 MPi 90ch,Manuelle, 360.0000 DA 
Toyota,4x2 DC Hilux LEGEND,2016,,,,, 700.0000 DA 
Audi,Design Q3 Sport,2021,39000km,Essence,1.5,Automatique, 730.0000 DA 
Dacia,Duster,2015,281600km,GPL,1.6 ess 4X2 105ch,Manuelle, 236.0000 DA 
Renault,Kangoo,2005,260km,Diesel,1.9 D 65ch,Manuelle, 98.0000 DA 
Fiat,Style Tipo style,2023,,,,, 325.0000 DA 
Renault,Kwid Outsider,2023,,,,, 277.0000 DA 
Toyota,Corolla,2023,,,,, 590.0000 DA 
Peugeot,Partner,2009,390km,Diesel,1.9 D 71ch,Manuelle, 125.0000 DA 
Renault,1 Clio,1996,,Diesel,1.9simple,Manuelle, 48.5000 DA 
Citroen,Berlingo,2020,106000km,Diesel,1.6 HDI 112ch,Manuelle, 999.0000 DA 
Mercedes,AMG C Classe,2009,155300km,Diesel,220 CDI,Manuelle, 265.0000 DA 
Volkswagen,7 Golf R,2014,197020km,Essence,2.0 TSI 300ch DSG,Automatique, 355.0000 DA 
Kia,Picanto Pop plus,2015,285000km,Essence,1.2 ess CVVT 87ch,Manuelle, 157.0000 DA 
Peugeot,404,1985,,Essence,,Manuelle, 27.0000 DA 
Mercedes,220 C Classe Designo,2016,91000km,Diesel,220 CDI BlueEfficiency,Automatique, 665.0000 DA 
Fiat,Doblo Fourgon,2023,,,,, 335.0000 DA 
Seat,LINEA Leon R,2016,189.000km,Diesel,2.0 TDI 143ch,Manuelle, 326.0000 DA 
Peugeot,208 Access,2013,274km,Essence,1.2 VTI 82ch,Manuelle, 145.0000 DA 
Opel,Corsa,2008,170000km,Essence,1.2 ess 80ch,Manuelle, 11.0000 DA 
Volkswagen,8 GTD Golf,2023,,,,, 950.0000 DA 
Nissan,Acenta Micra,2017,71000km,Essence,1.2 ess 98ch,Manuelle, 210.0000 DA 
Toyota,Sedan Yaris,2012,330km,Essence,1.3 VVTI 100ch,Manuelle, 217.0000 DA 
Chery,QQ,2012,211km,Essence,0.8 ess 38ch,Manuelle, 75.0000 DA 
Renault,nan,1990,,,,, 45.0000 DA 
Skoda,Edition Rapid,2019,115000km,GPL,1.6 MPI 110 ch,Manuelle, 325.0000 DA 
Chevrolet,Captiva LT,2013,98000km,Diesel,2.2 VCDI AWD 184ch,Manuelle, 200.0000 DA 
Volkswagen,Active Tiguan,2022,64000km,Essence,1.5 Tsi 150ch,Manuelle, 123.0000 DA 
Volkswagen,New R-Line Tiguan,2021,32000km,Diesel,200 ch,Automatique, 10.3000 DA 
Ford,Fusion,2010,170000km,Essence,1.4 ess 80ch,Manuelle, 141.0000 DA 
Renault, 4 Clio GT Line,2019,77000km,Diesel,1.5 dci 110ch,Manuelle, 351.0000 DA 
Renault,5 Clio RS line,2022,,,,, 400.0000 DA 
Hyundai,Extreme i20,2017,271000km,Diesel,1.4 CRDI 75ch,Manuelle, 222.0000 DA 
Fiat,Doblo professionnel,2024,,,,, 344.0000 DA 
SsangYong,Korando Limited,2014,225km,Diesel,2.0 DTR 4x2 176ch BVA,Automatique, 165.0000 DA 
Clio,5 Clio Intense,2020,,,,, 310.0000 DA 
Dacia,Ambiance Duster,2020,98000km,Essence,1.6 ess 4X2 105ch,Manuelle, 300.0000 DA 
Renault,4 Megane,2023,,,,, 510.0000 DA 
Dacia,Sandero Stepway,2017,72000km,Essence,1.6 mpi 80ch,Manuelle, 270.0000 DA 
Volkswagen,4 Golf,2002,395408km,Diesel,1.9 TDI 100ch,Manuelle, 145.0000 DA 
Suzuki,Swift,2014,87000km,Essence,,Manuelle, 220.0000 DA 
Renault,Express,1993,1km,Diesel,1.9 D 55ch,Manuelle, 33.0000 DA 
Peugeot,208 Active,2013,116100km,Essence,1.2 VTI 82ch,Manuelle, 154.0000 DA 
Hyundai,4 Accent RB portes,2018,109000km,GPL,,Automatique, 235.0000 DA 
Peugeot,Partner Tepee,2019,65000km,Diesel,1.6 HDI 112ch,Manuelle, 400.0000 DA 
Peugeot,208 GT Line,2021,49000km,Essence,1.2 VTI 82ch,Automatique, 400.0000 DA 
Suzuki,Alto,2012,,Essence,0.8 ess 46ch,Manuelle, 105.0000 DA 
Renault,Kangoo Privilege,2021,58000km,Diesel,1.5 DCI 110ch,Manuelle, 99.0000 DA 
Renault,3 Clio,2007,400000km,Diesel,1.5 DCI 105ch,Automatique, 105.0000 DA 
Volkswagen,7 Golf Gtd,2014,290000km,Diesel,2.0 TDI 184ch DSG,Automatique, 265.0000 DA 
Peugeot,207,2012,350000km,Essence,1.4 ess 75ch,Manuelle, 124.0000 DA 
Renault,Symbol,2015,450000km,GPL,1.2 ess 16V  75ch,Manuelle, 129.0000 DA 
Renault,Kangoo,2024,,,,, 455.0000 DA 
Citroen,Berlingo,2017,200000km,Diesel,,Automatique, 320.0000 DA 
Renault,3 Clio,2010,270000km,Diesel,1.5 DCI 90ch,Manuelle, 180.0000 DA 
Kia,GT Line Optima,2021,12000km,Essence,2.4L 198ch,Automatique, 840.0000 DA 
Seat,Advanced Ibiza,2019,140000km,Essence,1.6 MPi 110 ch Automatique,Automatique, 350.0000 DA 
Toyota,Corolla,2014,250000km,Diesel,1.4 D4D 90ch,Manuelle, 280.0000 DA 
Chevrolet,Captiva LTZ,2017,63000km,Diesel,2.2 VCDI AWD 184ch BVA,Automatique, 450.0000 DA 
Fiat,500x,2023,,,,, 353.0000 DA 
Chevrolet,Cruze,2014,20600km,,2.0 VCDI 165ch BVA,Manuelle, 169.0000 DA 
Renault,Extreme Symbol,2015,211000km,Diesel,1.5 Dci 85ch,Manuelle, 208.0000 DA 
Chevrolet,Cruze LT,2012,211750km,Diesel,2.0 VCDI 150ch BVA,Automatique, 168.0000 DA 
Peugeot,208 Allure,2012,115km,Diesel,1.6 HDI 115ch,Manuelle, 11.0000 DA 
Peugeot,208,2022,40000km,Essence,,Manuelle, 385.0000 DA 
Dacia,Sandero Stepway restylee,2018,180000km,GPL,1.6 ess 90ch,Manuelle, 267.0000 DA 
Fiat,Doblo,2024,,,,, 346.0000 DA 
Land Rover Rover,5 Dynamique Evoque Portes Range,2014,162km,Diesel,2.2 SD4 - 2.2 D 190ch BVA,Automatique, 111.0000 DA 
BMW,5 M Serie Sport,2013,183000km,Diesel,520d 184ch,Automatique, 450.0000 DA 
Renault,KWID,2023,,,,, 280.0000 DA 
Renault,2 Laguna,2006,309km,Diesel,2.0 dci,Manuelle, 147.0000 DA 
Hyundai,Accent GLS,2016,249.000km,GPL,1.5 ess 91ch,Manuelle, 215.0000 DA 
Volkswagen,7 Golf,2017,155000km,Diesel,2.0 TDI 110ch,Manuelle, 353.0000 DA 
Fiat,Doblo,2024,,,,, 111.0000 DA 
Great Wall,Wall m4 xtrem,2016,,,,, 205.0000 DA 
Fiat,Qubo,2015,180000km,Diesel,1.3 MJET 95ch,Manuelle, 186.0000 DA 
Toyota,Yaris,2008,155000km,,1.3 VVTI 87ch,Manuelle, 220.0000 DA 
Suzuki,Alto,2012,314000km,Essence,1.0 ess 68ch,Manuelle, 85.0000 DA 
Volkswagen,Caddy Novou,2021,100km,Diesel,122,Automatique, 123.0000 DA 
Volkswagen,CC Line Passat R,2016,297km,Diesel,2.0 TDI 140ch DSG,Automatique, 300.0000 DA 
Renault,2 Clio Extreme,2001,568000km,Diesel,1.9 D 65ch,Manuelle, 75.0000 DA 
Audi,A3 Line S,2015,190000km,Essence,1.8 TFSI 180ch,Automatique, 290.0000 DA 
Peugeot,207,2012,431000km,Essence,1.4 ess 75ch,Manuelle, 115.0000 DA 
Renault,B1 Clio1,1996,,,,, 60.0000 DA 
Ford,Ranger,2015,270km,,3.2 TDCI 4X4 200ch,, 240.0000 DA 
Volkswagen,Caddy,2015,126000km,Diesel,1.6 TDi 102ch,Manuelle, 255.0000 DA 
Suzuki,Alto,2007,362000km,Essence,,, 80.0000 DA 
Toyota,4x4 DC Hilux LEGEND,2022,35000km,Diesel,2.5 D4D 120ch,Automatique, 800.0000 DA 
Ford,City Fiesta,2008,237000km,Essence,1.3 ess 75ch,Manuelle, 115.0000 DA 
Renault,4 Clio,2019,95000km,Diesel,1.5 DCI 85ch,Manuelle, 111.0000 DA 
Nissan,Navara se,2011,155999km,Diesel,2.5 DDTI 4x4 144ch,Manuelle, 346.0000 DA 
Ford,5 Focus Sport Trend portes,2012,182000km,Essence,1.6 Ti VCT 125ch,Manuelle, 175.0000 DA 
Volkswagen,7 Bleu Golf motion,2013,300km,Diesel,2.0tdi150,Automatique, 225.0000 DA 
Zotye,1 Nomad,2007,000km,Essence,1.3 ess 69ch,Manuelle, 123.0000 DA 
Citroen,Berlingo,2017,172000km,Diesel,1.6 HDI 112ch,Manuelle, 390.0000 DA 
Hyundai,Creta,2018,,,,, 375.0000 DA 
Volkswagen,Carat Polo,2015,177km,Essence,1.6 MPI,Automatique, 235.0000 DA 
Ford,Ranger,2016,,Diesel,2.2 TDCI M6 150ch,Manuelle, 400.0000 DA 
Toyota,Sedan Yaris,2013,336000km,GPL,1.3 VVTI 100ch,Manuelle, 250.0000 DA 
Renault,Privilege Symbol,2013,138.000km,GPL,1.4 ess 75ch,Manuelle, 200.0000 DA 
Peugeot,Hdi,2022,,,,, 410.0000 DA 
Seat,Ibiza,2019,13000km,Essence,1.6 MPi 110 ch Automatique,Automatique, 380.0000 DA 
wuling,B12,2011,258000km,GPL,1.2,Manuelle, 80.0000 DA 
Opel,Insignia,2010,124000km,Essence,1.8 ess 140ch,Manuelle, 164.0000 DA 
Audi,A3 Line S,2021,110000km,Diesel,35 TDI 150 Ch,Automatique, 750.0000 DA 
Audi,A4 Line S,2020,37000km,Diesel,2.0 TFSI 211ch,Automatique, 820.0000 DA 
Peugeot,301 Active,2013,272000km,Essence,1.2 VTI 72ch,Manuelle, 155.0000 DA 
Renault, 4 Clio GT Line,2018,152000km,Diesel,1.5 DCI 85ch,Manuelle, 290.0000 DA 
Renault,Kangoo,2015,233000km,Diesel,1.5 DCI 90ch,Manuelle, 285.0000 DA 
Seat,FR Leon,2018,125000km,Diesel,2.0 TDI 177ch,Manuelle, 400.0000 DA 
Fiat,Tipo,2023,,,,, 316.0000 DA 
Hyundai,Accent GL,2020,950000km,Diesel,1.6 CRDI 128ch,Manuelle, 123.0000 DA 
Volkswagen,7 Drive Golf,2019,140000km,Diesel,2.0 TDi 143ch,Automatique, 440.0000 DA 
Jeep,Limited Renegade,2019,,,,, 530.0000 DA 
Faw,xiali,2008,,,,, 35.0000 DA 
Citroen,Attraction C4,2012,105000km,Diesel,1.6 HDI 92ch,Manuelle, 220.0000 DA 
Citroen,Berlingo,2021,35200km,,1.2,Manuelle, 420.0000 DA 
Gonow,Cabine Double Mini Truck,2014,250000km,Essence,,Manuelle, 120.0000 DA 
Volkswagen,Line R Tiguan,2019,63000km,Diesel,2.0 TDI 170ch,Automatique, 865.0000 DA 
Seat,EDITION Ibiza,2019,67000km,Essence,1.6 MPi 110 ch,Manuelle, 333.0000 DA 
Volkswagen,Passat,2000,120000km,Diesel,1.9tdi 130ch,Automatique, 165.0000 DA 
Volkswagen,Carat Tiguan,2019,79000km,Diesel,2.0 TDI 170ch,Automatique, 760.0000 DA 
Peugeot,208 Access Facelift,2022,18500km,Diesel,1.6 HDI 92ch,Manuelle, 405.0000 DA 
Mercedes,220 C Classe Designo,2022,19000km,Diesel,220 CDI BlueEfficiency,Automatique, 11.0000 DA 
Renault,Confort Kangoo,2015,192km,Diesel,1.5 DCI 110ch,Manuelle, 255.0000 DA 
Fiat,DOBLO,2023,,,,, 338.0000 DA 
Volkswagen,Tiguan,2017,98000km,Diesel,2.0 TDI 140ch,Manuelle, 460.0000 DA 
Dacia,Sandero Stepway,2018,130000km,Diesel,1.5 DCI 90ch,Manuelle, 270.0000 DA 
Audi,A3 Line S,2019,28000km,Diesel,2.0 TDI 143ch S-Tronic,Automatique, 800.0000 DA 
Hyundai,4 Accent DZ GL RB portes,2019,120000km,Diesel,1.6 CRDI 128ch,Manuelle, 280.0000 DA 
Seat,Ibiza Style plus,2022,16000km,Essence,1.0  80 ch mpi,Manuelle, 111.0000 DA 
Audi,A3 Line S,2015,270000km,Diesel,2.0 TDI 143ch S-Tronic,Automatique, 250.0000 DA 
Hyundai,Accent,2018,149000km,Diesel,1.6 CRDI 128ch,Manuelle, 225.0000 DA 
Citroen,Ds7 Opera,2022,,,,, 850.0000 DA 
Nissan,Cabine Double Navara,2012,187000km,Diesel,2.5 DDTI 4x4 144ch,Manuelle, 352.0000 DA 
Hyundai,Prestige Tucson,2019,99700km,Diesel,2.0 CRDI 4x2 177ch BVA,Automatique, 550.0000 DA 
Fiat,1994 La Panda,1994,111111km,Essence,1.1 ess 55ch,Manuelle, 28.0000 DA 
Dacia,Duster Laureate Valley,2016,146000km,Essence,1.6 ess 4X2 105ch,Manuelle, 265.0000 DA 
Chevrolet,4 Aveo portes,2013,120000km,,1.4 ess 16V 100ch,, 230.0000 DA 
Hyundai,Creta Gl,2018,,,,, 280.0000 DA 
Renault,100 5 6 Clio Intense cheuvaux intense vitesse,2021,,,,, 360.0000 DA 
Fiat,Punto,2001,333km,Essence,1.2 ess 60ch,Manuelle, 45.0000 DA 
Renault,3 Edition Megane Sport,2012,120000km,Diesel,1.5 DCI 110ch,Manuelle, 243.0000 DA 
Renault,5 Super,1986,290000km,Essence,1.4 ess 72ch,Manuelle, 109.0000 DA 
Volkswagen,Passat,2014,112000km,Diesel,2.0 TDI 140ch,Manuelle, 360.0000 DA 
Volkswagen,5 Carat Golf,2007,460km,Diesel,2.0 TDI 140ch,Manuelle, 145.0000 DA 
Peugeot,307,2005,402000km,Diesel,1.6 HDI 90ch,Manuelle, 75.0000 DA 
Seat,Fr Ibiza,2013,277000km,Diesel,1.6 TDI 105ch,Manuelle, 200.0000 DA 
Peugeot,206,2006,260km,Essence,1.4 ess 75ch,Manuelle, 135.0000 DA 
Seat,Facelift High Ibiza,2019,70000km,Essence,1.6 MPi 110 ch,Manuelle, 380.0000 DA 
Peugeot,308 GT Gt,2023,,,,, 553.0000 DA 
Nissan,4x4 Elegance Navara,2014,246000km,Diesel,2.5 DCI 144ch,Manuelle, 356.0000 DA 
Fiat,Doblo,2024,,,,, 330.0000 DA 
Fiat,140CH 2.2 Ducato L1H1 Professional,2024,,,2.2 HDI 140 ch,, 397.9000 DA 
Volkswagen,R-line T-roc,2021,32600km,Essence,1.0L tsi 116 ch,Manuelle, 550.0000 DA 
Renault,Symbol,2019,94000km,Essence,1.2 ess 16V  75ch,Manuelle, 255.0000 DA 
Citroen,C Elysee Exclusive,2014,182km,GPL,1.6 VTI 115ch,Manuelle, 180.0000 DA 
Chery,4 Luxury Tiggo pro,2024,,,,, 123.0000 DA 
Hyundai,4 Accent RB portes,2017,200000km,Essence,1.4 ess 107ch,Manuelle, 230.0000 DA 
Seat,ARONA Style,2018,49000km,Essence,1.6 MPi 110 ch,Manuelle, 375.0000 DA 
Peugeot,Partner Tepee,2018,49000km,Diesel,1.6 HDI FAP 115 CH,Manuelle, 445.0000 DA 
