brand,model,year,kilometer,fuel,engine,transmission,price
Benneli, Panera,2023.0,100km,Essence,125cc,, 31.0000 DA 
Daewoo, Cielo,1996.0,3969999km,Essence,1.5,Manuelle, 31.0000 DA 
Peugeot,309,1986.0,,,,, 31.0000 DA 
Renault,19,1992.0,,,,, 31.0000 DA 
Peugeot,404,1968.0,1111111km,Essence,1.6 ess 80ch,Manuelle, 32.0000 DA 
Renault, Safrane,1994.0,295000km,Diesel,R25,Manuelle, 32.0000 DA 
Renault, Safrane Toute option,1994.0,,,,, 32.0000 DA 
Fiat, Ino,1987.0,,,,, 32.0000 DA 
Renault, 205 4 45 Clio Gt R17 line nexen pneu,2023.0,00km,Diesel,,Manuelle, 32.0000 DA 
Hafei, Yavuz motors,2004.0,300000km,Essence,1.1 ess 65 ch,Manuelle, 32.0000 DA 
Peugeot,205,1997.0,12345km,Diesel,,Manuelle, 32.0000 DA 
Renault,4,1985.0,123456km,Essence,,Manuelle, 32.0000 DA 
Peugeot,405,1990.0,300000km,Essence,,, 32.0000 DA 
Fiat, Classic Punto,1996.0,,Diesel,1.7 D 71ch,Manuelle, 32.0000 DA 
Fiat, Panda,1988.0,400km,Essence,1.0 ess 4X4 50ch,Manuelle, 32.0000 DA 
Peugeot,205,1990.0,265000km,Essence,1.9 bx,Manuelle, 32.0000 DA 
Renault,12  Renault,1989.0,999999999km,Essence,Express,Manuelle, 32.0000 DA 
Audi, 80 Audi,1988.0,111111km,Essence,S90,Manuelle, 32.0000 DA 
Citroen, 8 Ami,1974.0,11111144km,Essence,,Manuelle, 32.0000 DA 
Faw, Xiali,2007.0,111km,Essence,1.1,Manuelle, 32.0000 DA 
Peugeot,106,1992.0,400000km,Essence,,Manuelle, 32.0000 DA 
Suzuki, 800 Maruti,2001.0,,Essence,0.8 ess 47ch,Manuelle, 32.0000 DA 
Renault, R5,1984.0,999km,Essence,,Manuelle, 32.0000 DA 
Citroen, ZX,1997.0,1000000km,Diesel,,Manuelle, 33.0000 DA 
Fiat, La Tipo base sedan,2023.0,450km,Essence,1.6,Automatique, 33.0000 DA 
Fiat, Uno,1998.0,111111km,Essence,1.1,Manuelle, 33.0000 DA 
Skoda, Ambiente Octavia,2014.0,156000km,Diesel,2.0 TDI 140ch,Manuelle, 33.0000 DA 
Peugeot,305,1984.0,00000km,Essence,1.5 ess 74ch,Manuelle, 33.0000 DA 
Volkswagen, Polo,1990.0,99999km,Essence,1.3 ess 55ch,Manuelle, 33.0000 DA 
Seat, Black Ibiza Line,2015.0,191km,Essence,1.4 ess 85ch,Manuelle, 33.0000 DA 
Dacia, Sandero Stepway,2020.0,134.000km,Diesel,1.5 DCI 90ch,Manuelle, 33.0000 DA 
Hafei,HFG motors,2004.0,000km,Essence,1.1,Manuelle, 33.0000 DA 
Audi, Line Q3 S,2013.0,310.000km,Essence,2.0 TFSI Quattro 170ch,Automatique, 33.0000 DA 
Renault, R19,1995.0,,Diesel,1.9,Manuelle, 33.0000 DA 
Vms, Nv,2022.0,8300km,Essence,,Semi Automatique, 33.0000 DA 
Fiat, Panda,1997.0,,Essence,,Manuelle, 33.0000 DA 
Peugeot,404,1978.0,00000km,Essence,La 10,Manuelle, 33.0000 DA 
Renault, Classique Clio,2002.0,555km,GPL,1.4 ess 75ch,Manuelle, 33.0000 DA 
Hummer, H3,2011.0,260km,GPL,,Manuelle, 33.0000 DA 
Renault, Symbol,2013.0,233km,GPL,1.4 ess 75ch,Manuelle, 33.0000 DA 
Dacia, Sandero,2017.0,110km,Diesel,1.5 DCI 75ch,Manuelle, 33.0000 DA 
Peugeot,404,1985.0,555555km,GPL,La 9,Manuelle, 33.0000 DA 
Nitro, Mbk yamaha,2017.0,100km,Essence,70cc,Automatique, 33.0000 DA 
Faw, Xiali,2007.0,999999km,Essence,,Manuelle, 33.0000 DA 
Renault,5,1985.0,999999km,Essence,GTL 5 vitesse,Manuelle, 33.0000 DA 
Volkswagen, 7 Cup Golf,2015.0,260000km,Diesel,,Automatique, 33.0000 DA 
doble, cabine,2010.0,,Diesel,,Manuelle, 33.0000 DA 
Honda, Concerto,1990.0,,Essence,,Manuelle, 33.0000 DA 
Daewoo, Matiz,1999.0,370km,Essence,0.8,Manuelle, 33.0000 DA 
Suzuki, Swift,2022.0,00km,Essence,1.2 VVT 85ch BVA,Automatique, 33.0000 DA 
Daewoo, Lanos,2000.0,4000km,Essence,Ess,Manuelle, 33.0000 DA 
Dacia, Sandero Stepway,2018.0,52000km,Diesel,1.5 DCI 90ch,Manuelle, 33.0000 DA 
Peugeot,205,1985.0,,,,, 33.0000 DA 
Peugeot,205,1991.0,,,,, 33.0000 DA 
Suzuki, 800 Maruti,2008.0,,,,, 33.0000 DA 
Renault,4,1982.0,,,,, 33.0000 DA 
Zotye, Maruti,2007.0,,,,, 33.0000 DA 
Daewoo, Nubira,1998.0,,,,, 33.0000 DA 
Renault, Kwid,2023.0,,,,, 34.0000 DA 
Renault,1  Clio,1993.0,,Diesel,1.9 D 65ch,Manuelle, 34.0000 DA 
Faw, Ixiali N3,2006.0,600000km,Essence,1.3,Manuelle, 34.0000 DA 
Baic, X55,2022.0,3km,Essence,1.5 Turbo 150ch,Manuelle, 34.0000 DA 
Suzuki, 800 Maruti,2005.0,300km,Essence,0.8 ess 47ch,Manuelle, 34.0000 DA 
Daewoo, Nubira,1999.0,333km,Essence,1.6 ess 106ch,Manuelle, 34.0000 DA 
