brand,model,year,kilometer,engine,transmission,fuel,nb_of_doors,price
Toyota,RAV4 XLE AWD,2022,"31,775",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$28,932"
Toyota,Camry LE FWD,2023,"12,082",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$24,883"
Toyota,Camry SE FWD,2023,"14,768",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$26,332"
Toyota,RAV4 XLE FWD,2023,"27,215",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$29,275"
Toyota,Camry SE,2016,"141,128",178 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$11,988"
Toyota,Camry SE FWD,2020,"78,859",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$17,900"
Toyota,Camry SE FWD,2023,"21,495",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$24,605"
Toyota,Prius Three,2014,"154,225",134 hp 1.8L I4 Hybrid,Automatic,Hybrid,4 doors,"$10,495"
Toyota,Highlander LE FWD,2019,"96,990",295 hp 3.5L V6,8-Speed Automatic,Gasoline,4 doors,"$18,999"
Toyota,4Runner Nightshade Edition 4WD,2021,"46,343",270 hp 4L V6,5-Speed Automatic Overdrive,Gasoline,4 doors,"$41,375"
Toyota,Corolla LE Eco,2014,"90,550",140 hp 1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$12,390"
Toyota,Sequoia Limited,2004,"228,019",240 hp 4.7L V8,4-Speed Automatic,Gasoline,4 doors,"$5,500"
Toyota,Highlander Sport 4WD,2010,"81,350",270 hp 3.5L V6,5-Speed Automatic Overdrive,Gasoline,4 doors,"$13,750"
Toyota,Camry Hybrid XLE FWD,2012,"86,550",200 hp 2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$12,995"
Toyota,Corolla LE FWD,2022,"43,325",1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$19,450"
Toyota,Corolla LE FWD,2022,"21,649",1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$19,693"
Toyota,Corolla LE,2003,"175,700",130 hp 1.8L I4,4-Speed Automatic,Gasoline,4 doors,"$2,990"
Toyota,Tacoma PreRunner Access Cab V6,2008,"91,112",236 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$17,950"
Toyota,RAV4 XLE Premium AWD,2023,"30,063",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$33,119"
Toyota,Tacoma TRD Off Road Double Cab 4WD,2023,"13,580",278 hp 3.5L V6,Automatic,Gasoline,4 doors,"$41,199"
Toyota,Camry Hybrid SE FWD,2021,"25,000",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$27,271"
Toyota,RAV4 LE AWD,2022,"31,148",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$25,223"
Toyota,Highlander Limited AWD,2020,"38,038",295 hp 3.5L V6,Automatic,Gasoline,4 doors,"$36,675"
Toyota,Camry XSE AWD,2023,"13,793",205 hp 2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$31,277"
Toyota,Corolla LE FWD,2022,"40,214",1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$19,597"
Toyota,Camry XLE AWD,2022,"26,731",202 hp 2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$28,534"
Toyota,Tundra SR5 CrewMax 5.7L FFV 4WD,2014,"191,510",381 hp 5.7L V8 Flex Fuel Vehicle,6-Speed Automatic,Flex Fuel Vehicle,4 doors,"$17,407"
Toyota,Prius Limited FWD,2019,"50,447",1.8L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$23,300"
Toyota,Corolla SE,2019,"85,948",132 hp 1.8L I4,Automatic,Gasoline,4 doors,"$15,704"
Toyota,Camry SE FWD,2021,"36,503",2.5L I4,Automatic,Gasoline,4 doors,"$20,243"
Toyota,Sienna L 7-Passenger,2015,"131,000",266 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$11,999"
Toyota,Venza Limited AWD,2021,"25,824",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$33,977"
Toyota,RAV4 XLE AWD,2021,"42,534",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$25,995"
Toyota,Corolla LE FWD,2020,"55,169",1.8L I4,Automatic,Gasoline,4 doors,"$16,987"
Toyota,C-HR XLE,2019,"68,852",144 hp 2L I4,Automatic,Gasoline,4 doors,"$18,995"
Toyota,RAV4 XLE AWD,2021,"67,358",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$25,243"
Toyota,Highlander Limited AWD,2022,"37,052",295 hp 3.5L V6,8-Speed Automatic,Gasoline,4 doors,"$39,494"
Toyota,RAV4 Hybrid Limited AWD,2021,"45,824",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$33,340"
Toyota,Camry XLE,2018,"70,995",2.5L I4,Automatic,Gasoline,4 doors,"$17,977"
Toyota,Tacoma Access Cab V6 4WD,2008,"95,280",236 hp 4L V6,5-Speed Automatic Overdrive,Gasoline,4 doors,"$13,999"
Toyota,Camry Hybrid FWD,2008,"206,985",187 hp 2.4L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$4,999"
Toyota,4Runner SR5 Premium 4WD,2022,"27,450",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$37,293"
Toyota,Camry XSE FWD,2022,"31,873",206 hp 2.5L I4,Automatic,Gasoline,4 doors,"$29,995"
Toyota,Venza V6 AWD,2009,"147,404",268 hp 3.5L V6,Automatic,Gasoline,4 doors,"$10,400"
Toyota,Camry LE,2011,"141,005",169 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$8,495"
