brand,model,engine,nb of doors,year,transmission,price,fuel,kilometer
Dodge,Avenger SE FWD,173 hp 2.4L I4,4 doors,2014,4-Speed Automatic,"$4,800",Gasoline,"160,658 mi"
Dodge,Dakota Club Cab RWD,175 hp 3.9L V6,2 doors,1997,4-Speed Automatic,"$3,358",Gasoline,"115,728 mi"
Dodge,Nitro Heat 4WD,210 hp 3.7L V6,4 doors,2011,4-Speed Automatic Overdrive,"$6,500",Gasoline,"118,464 mi"
Dodge,Dakota ST Club Cab RWD,210 hp 3.7L V6,4 doors,2006,4-Speed Manual,"$3,499",Gasoline,"108,048 mi"
Dodge,RAM 1500 SLT Quad Cab RWD,345 hp 5.7L V8,4 doors,2008,5-Speed Automatic,"$9,500",Gasoline,"130,031 mi"
Dodge,Charger R/T Road & Track RWD,370 hp 5.7L V8,4 doors,2013,5-Speed Automatic,"$12,850",Gasoline,"169,540 mi"
Dodge,Charger SE RWD,292 hp 3.6L V6,4 doors,2013,5-Speed Automatic,"$4,000",Gasoline,"169,000 mi"
Dodge,Durango Citadel AWD,390 hp 5.7L V8,4 doors,2013,5-Speed Automatic,"$12,981",Gasoline,"123,617 mi"
Dodge,Challenger SXT Plus RWD,305 hp 3.6L V6,2 doors,2014,5-Speed Automatic,"$9,990",Gasoline,"147,212 mi"
Dodge,Charger R/T AWD,370 hp 5.7L V8,4 doors,2013,5-Speed Automatic,"$10,000",Gasoline,"142,400 mi"
Dodge,Charger SE RWD,292 hp 3.6L V6,4 doors,2014,5-Speed Automatic,"$7,995",Gasoline,"125,780 mi"
Dodge,Charger R/T AWD,370 hp 5.7L V8,4 doors,2013,5-Speed Automatic,"$15,995",Gasoline,"95,492 mi"
Dodge,Charger Police RWD,292 hp 3.6L V6,4 doors,2015,5-Speed Automatic,"$11,500",Gasoline,"64,104 mi"
Dodge,Charger SE RWD,292 hp 3.6L V6,4 doors,2014,5-Speed Automatic,"$5,999",Gasoline,"178,492 mi"
Dodge,Charger R/T RWD,370 hp 5.7L V8,4 doors,2012,5-Speed Automatic,"$14,228",Gasoline,"93,347 mi"
